match_no,date,stage,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder,balls_delivered
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,0.1,de Kock,Hazlewood,0,0,0,0,0,0,,,,1
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,0.2,de Kock,Hazlewood,4,0,0,0,0,0,,,,2
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,0.3,de Kock,Hazlewood,0,0,0,0,0,0,,,,3
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,0.4,de Kock,Hazlewood,0,0,0,0,0,0,,,,4
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,0.5,de Kock,Hazlewood,0,0,0,0,0,0,caught,de Kock,Jitesh Sharma,5
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,0.6,Rahane,Hazlewood,0,0,0,0,0,0,,,,6
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,1.1,Narine,Yash Dayal,0,0,0,0,0,0,,,,7
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,1.2,Narine,Yash Dayal,0,0,0,0,0,0,,,,8
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,1.3,Narine,Yash Dayal,0,0,0,0,0,0,,,,9
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,1.4,Narine,Yash Dayal,0,0,0,0,0,0,,,,10
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,1.5,Narine,Yash Dayal,1,0,0,0,0,0,,,,11
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,1.6,Rahane,Yash Dayal,0,0,0,0,0,0,,,,12
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,2.1,Narine,Hazlewood,0,0,0,0,0,0,,,,13
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,2.2,Narine,Hazlewood,0,0,0,0,0,0,,,,14
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,2.3,Narine,Hazlewood,0,0,0,0,0,0,,,,15
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,2.4,Narine,Hazlewood,4,0,0,0,0,0,,,,16
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,2.5,Narine,Hazlewood,0,0,0,0,0,0,,,,17
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,2.6,Narine,Hazlewood,0,0,0,0,0,0,,,,18
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,3.1,Rahane,Rasikh Salam,0,0,0,0,0,0,,,,19
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,3.2,Rahane,Rasikh Salam,4,0,0,0,0,0,,,,20
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,3.3,Rahane,Rasikh Salam,6,0,0,0,0,0,,,,21
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,3.4,Rahane,Rasikh Salam,0,0,0,0,0,0,,,,22
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,3.5,Rahane,Rasikh Salam,6,0,0,0,0,0,,,,23
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,3.6,Rahane,Rasikh Salam,0,0,0,0,0,0,,,,24
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,4.1,Narine,Krunal Pandya,6,0,0,0,0,0,,,,25
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,4.2,Narine,Krunal Pandya,1,0,0,0,0,0,,,,26
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,4.3,Rahane,Krunal Pandya,0,0,0,0,0,0,,,,27
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,4.4,Rahane,Krunal Pandya,0,0,0,0,0,0,,,,28
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,4.5,Rahane,Krunal Pandya,4,0,0,0,0,0,,,,29
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,4.6,Rahane,Krunal Pandya,4,0,0,0,0,0,,,,30
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,5.1,Narine,Yash Dayal,4,0,0,0,0,0,,,,31
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,5.2,Narine,Yash Dayal,1,0,0,0,0,0,,,,32
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,5.3,Rahane,Yash Dayal,4,0,0,0,0,0,,,,33
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,5.4,Rahane,Yash Dayal,6,0,0,0,0,0,,,,34
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,5.5,Rahane,Yash Dayal,4,0,0,0,0,0,,,,35
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,5.6,Rahane,Yash Dayal,1,0,0,0,0,0,,,,36
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,6.1,Rahane,Suyash Sharma,0,0,0,0,0,0,,,,37
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,6.2,Rahane,Suyash Sharma,4,0,0,0,0,0,,,,38
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,6.3,Rahane,Suyash Sharma,0,0,0,0,0,0,,,,39
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,6.4,Rahane,Suyash Sharma,0,0,0,0,0,0,,,,40
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,6.5,Rahane,Suyash Sharma,0,0,0,0,0,0,,,,41
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,6.6,Rahane,Suyash Sharma,1,0,0,0,0,0,,,,42
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,7.1,Rahane,Rasikh Salam,0,1,0,1,0,0,,,,43
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,7.2,Narine,Rasikh Salam,0,1,1,0,0,0,,,,44
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,7.2,Narine,Rasikh Salam,1,0,0,0,0,0,,,,44
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,7.3,Rahane,Rasikh Salam,1,0,0,0,0,0,,,,45
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,7.4,Narine,Rasikh Salam,0,1,1,0,0,0,,,,46
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,7.4,Narine,Rasikh Salam,0,0,0,0,0,0,,,,46
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,7.5,Narine,Rasikh Salam,4,0,0,0,0,0,,,,47
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,7.6,Narine,Rasikh Salam,0,0,0,0,0,0,,,,48
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,8.1,Rahane,Suyash Sharma,0,1,1,0,0,0,,,,49
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,8.1,Rahane,Suyash Sharma,6,0,0,0,0,0,,,,49
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,8.2,Rahane,Suyash Sharma,2,0,0,0,0,0,,,,50
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,8.3,Rahane,Suyash Sharma,1,0,0,0,0,0,,,,51
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,8.4,Narine,Suyash Sharma,2,0,0,0,0,0,,,,52
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,8.5,Narine,Suyash Sharma,6,0,0,0,0,0,,,,53
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,8.6,Narine,Suyash Sharma,4,0,0,0,0,0,,,,54
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,9.1,Rahane,Rasikh Salam,0,0,0,0,0,0,,,,55
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,9.2,Rahane,Rasikh Salam,1,0,0,0,0,0,,,,56
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,9.3,Narine,Rasikh Salam,4,0,0,0,0,0,,,,57
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,9.4,Narine,Rasikh Salam,0,0,0,0,0,0,,,,58
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,9.5,Narine,Rasikh Salam,6,0,0,0,0,0,,,,59
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,9.6,Narine,Rasikh Salam,0,0,0,0,0,0,caught,Narine,Jitesh Sharma,60
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,10.1,Rahane,Krunal Pandya,1,0,0,0,0,0,,,,61
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,10.2,Venkatesh Iyer,Krunal Pandya,1,0,0,0,0,0,,,,62
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,10.3,Rahane,Krunal Pandya,0,0,0,0,0,0,caught,Rahane,Rasikh Salam,63
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,10.4,Angkrish Raghuvanshi,Krunal Pandya,1,0,0,0,0,0,,,,64
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,10.5,Venkatesh Iyer,Krunal Pandya,0,0,0,0,0,0,,,,65
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,10.6,Venkatesh Iyer,Krunal Pandya,0,0,0,0,0,0,,,,66
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,11.1,Angkrish Raghuvanshi,Suyash Sharma,1,0,0,0,0,0,,,,67
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,11.2,Venkatesh Iyer,Suyash Sharma,0,0,0,0,0,0,,,,68
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,11.3,Venkatesh Iyer,Suyash Sharma,4,0,0,0,0,0,,,,69
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,11.4,Venkatesh Iyer,Suyash Sharma,1,0,0,0,0,0,,,,70
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,11.5,Angkrish Raghuvanshi,Suyash Sharma,4,0,0,0,0,0,,,,71
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,11.6,Angkrish Raghuvanshi,Suyash Sharma,4,0,0,0,0,0,,,,72
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,12.1,Venkatesh Iyer,Krunal Pandya,0,1,1,0,0,0,,,,73
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,12.1,Venkatesh Iyer,Krunal Pandya,0,0,0,0,0,0,bowled,Venkatesh Iyer,,73
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,12.2,Rinku Singh,Krunal Pandya,1,0,0,0,0,0,,,,74
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,12.3,Angkrish Raghuvanshi,Krunal Pandya,1,0,0,0,0,0,,,,75
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,12.4,Rinku Singh,Krunal Pandya,1,0,0,0,0,0,,,,76
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,12.5,Angkrish Raghuvanshi,Krunal Pandya,2,0,0,0,0,0,,,,77
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,12.6,Angkrish Raghuvanshi,Krunal Pandya,1,0,0,0,0,0,,,,78
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,13.1,Angkrish Raghuvanshi,Livingstone,1,0,0,0,0,0,,,,79
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,13.2,Rinku Singh,Livingstone,1,0,0,0,0,0,,,,80
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,13.3,Angkrish Raghuvanshi,Livingstone,1,0,0,0,0,0,,,,81
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,13.4,Rinku Singh,Livingstone,4,0,0,0,0,0,,,,82
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,13.5,Rinku Singh,Livingstone,2,0,0,0,0,0,,,,83
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,13.6,Rinku Singh,Livingstone,1,0,0,0,0,0,,,,84
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,14.1,Rinku Singh,Krunal Pandya,1,0,0,0,0,0,,,,85
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,14.2,Angkrish Raghuvanshi,Krunal Pandya,1,0,0,0,0,0,,,,86
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,14.3,Rinku Singh,Krunal Pandya,0,0,0,0,0,0,,,,87
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,14.4,Rinku Singh,Krunal Pandya,1,0,0,0,0,0,,,,88
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,14.5,Angkrish Raghuvanshi,Krunal Pandya,1,0,0,0,0,0,,,,89
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,14.6,Rinku Singh,Krunal Pandya,0,0,0,0,0,0,bowled,Rinku Singh,,90
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,15.1,Angkrish Raghuvanshi,Suyash Sharma,1,0,0,0,0,0,,,,91
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,15.2,Russell,Suyash Sharma,0,0,0,0,0,0,,,,92
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,15.3,Russell,Suyash Sharma,4,0,0,0,0,0,,,,93
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,15.4,Russell,Suyash Sharma,0,0,0,0,0,0,bowled,Russell,,94
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,15.5,Ramandeep Singh,Suyash Sharma,0,0,0,0,0,0,,,,95
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,15.6,Ramandeep Singh,Suyash Sharma,1,0,0,0,0,0,,,,96
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,16.1,Ramandeep Singh,Livingstone,1,0,0,0,0,0,,,,97
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,16.2,Angkrish Raghuvanshi,Livingstone,1,0,0,0,0,0,,,,98
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,16.3,Ramandeep Singh,Livingstone,1,0,0,0,0,0,,,,99
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,16.4,Angkrish Raghuvanshi,Livingstone,0,0,0,0,0,0,,,,100
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,16.5,Angkrish Raghuvanshi,Livingstone,1,0,0,0,0,0,,,,101
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,16.6,Ramandeep Singh,Livingstone,0,0,0,0,0,0,,,,102
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,17.1,Angkrish Raghuvanshi,Hazlewood,0,0,0,0,0,0,,,,103
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,17.2,Angkrish Raghuvanshi,Hazlewood,1,0,0,0,0,0,,,,104
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,17.3,Ramandeep Singh,Hazlewood,0,1,0,1,0,0,,,,105
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,17.4,Angkrish Raghuvanshi,Hazlewood,6,0,0,0,0,0,,,,106
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,17.5,Angkrish Raghuvanshi,Hazlewood,1,0,0,0,0,0,,,,107
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,17.6,Ramandeep Singh,Hazlewood,1,0,0,0,0,0,,,,108
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,18.1,Ramandeep Singh,Yash Dayal,1,0,0,0,0,0,,,,109
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,18.2,Angkrish Raghuvanshi,Yash Dayal,1,0,0,0,0,0,,,,110
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,18.3,Ramandeep Singh,Yash Dayal,1,0,0,0,0,0,,,,111
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,18.4,Angkrish Raghuvanshi,Yash Dayal,0,0,0,0,0,0,,,,112
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,18.5,Angkrish Raghuvanshi,Yash Dayal,0,0,0,0,0,0,caught,Angkrish Raghuvanshi,Jitesh Sharma,113
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,18.6,Harshit Rana,Yash Dayal,1,0,0,0,0,0,,,,114
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,19.1,Harshit Rana,Hazlewood,0,0,0,0,0,0,,,,115
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,19.2,Harshit Rana,Hazlewood,0,0,0,0,0,0,,,,116
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,19.3,Harshit Rana,Hazlewood,0,0,0,0,0,0,,,,117
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,19.4,Harshit Rana,Hazlewood,4,0,0,0,0,0,,,,118
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,19.5,Harshit Rana,Hazlewood,0,0,0,0,0,0,caught,Harshit Rana,Jitesh Sharma,119
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,19.6,Spencer Johnson,Hazlewood,1,0,0,0,0,0,,,,120
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,0.1,Phil Salt,Vaibhav Arora,4,0,0,0,0,0,,,,1
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,0.2,Phil Salt,Vaibhav Arora,0,1,1,0,0,0,,,,2
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,0.2,Phil Salt,Vaibhav Arora,0,0,0,0,0,0,,,,2
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,0.3,Phil Salt,Vaibhav Arora,0,0,0,0,0,0,,,,3
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,0.4,Phil Salt,Vaibhav Arora,1,0,0,0,0,0,,,,4
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,0.5,Kohli,Vaibhav Arora,4,0,0,0,0,0,,,,5
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,0.6,Kohli,Vaibhav Arora,2,0,0,0,0,0,,,,6
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,1.1,Phil Salt,Spencer Johnson,0,0,0,0,0,0,,,,7
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,1.2,Phil Salt,Spencer Johnson,0,0,0,0,0,0,,,,8
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,1.3,Phil Salt,Spencer Johnson,4,0,0,0,0,0,,,,9
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,1.4,Phil Salt,Spencer Johnson,0,0,0,0,0,0,,,,10
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,1.5,Phil Salt,Spencer Johnson,0,0,0,0,0,0,,,,11
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,1.6,Phil Salt,Spencer Johnson,0,1,0,1,0,0,,,,12
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,2.1,Phil Salt,Vaibhav Arora,4,0,0,0,0,0,,,,13
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,2.2,Phil Salt,Vaibhav Arora,6,0,0,0,0,0,,,,14
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,2.3,Phil Salt,Vaibhav Arora,1,0,0,0,0,0,,,,15
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,2.4,Kohli,Vaibhav Arora,4,0,0,0,0,0,,,,16
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,2.5,Kohli,Vaibhav Arora,1,0,0,0,0,0,,,,17
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,2.6,Phil Salt,Vaibhav Arora,4,0,0,0,0,0,,,,18
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",RCB,KKR,2,3.1,Kohli,Varun Chakaravarthy,1,0,0,0,0,0,,,,19
